Date,Price,Target_RV,RV_Daily,RV_Weekly,RV_Monthly,middle_east__log_fatal_ewma_94_lag0,middle_east__log_fatal_ewma_94_lag1,global__log_fatal_ewma_94_lag0,global__log_fatal_ewma_94_lag1
1990-02-02,423.4,9.28704135811375e-05,5.57957186689367e-08,0.0001024745167414,9.155031445170657e-05,1.658182523321329,1.4901648477153462,5.152037305529877,5.188233251925151
1990-02-05,427.5,6.637916958389711e-06,9.28704135811375e-05,0.000119675081147,9.023288132900852e-05,2.007052951800232,1.658182523321329,5.015964083287674,5.152037305529877
1990-02-06,426.4,6.036225752107746e-05,6.637916958389711e-06,9.6140638208332e-05,7.407475417289541e-05,2.106443473459997,2.007052951800232,4.957589314360487,5.015964083287674
1990-02-07,423.1,8.929425338088831e-07,6.036225752107746e-05,6.619365458682666e-05,7.345288427731702e-05,1.980056865052397,2.106443473459997,4.991899700749543,4.957589314360487
1990-02-08,423.5,4.7214087879581744e-05,8.929425338088831e-07,3.21638652626165e-05,7.309559949767644e-05,1.9444311148164464,1.980056865052397,5.039230329652111,4.991899700749543
1990-02-09,420.6,5.051443054210105e-05,4.7214087879581744e-05,4.159552369479906e-05,5.7951753324859424e-05,1.8693540787610563,1.9444311148164464,5.1920238391769065,5.039230329652111
1990-02-12,423.6,1.432092415311627e-05,5.051443054210105e-05,3.312432708699177e-05,5.973031972427494e-05,2.0323500122308924,1.8693540787610563,5.24458554852173,5.1920238391769065
1990-02-13,422.0,9.519220726554354e-06,1.432092415311627e-05,3.4660928525937084e-05,6.016764556735037e-05,2.068752451273954,2.0323500122308924,5.146565490369079,5.24458554852173
1990-02-14,420.7,0.0001156501643132,9.519220726554354e-06,2.4492321167032465e-05,6.055808899587804e-05,2.11462010484089,2.068752451273954,5.202567552652671,5.146565490369079
1990-02-15,416.2,0.0001208185123116,0.0001156501643132,4.744376552291147e-05,6.358077242885642e-05,2.1832286908317258,2.11462010484089,5.10199513097048,5.202567552652671
1990-02-16,420.8,4.398279135923095e-05,0.0001208185123116,6.216465040931646e-05,6.84727790719299e-05,2.1903900749614653,2.1832286908317258,4.944969822099532,5.10199513097048
1990-02-20,423.6,2.239765893700772e-05,4.398279135923095e-05,6.085832257274245e-05,6.88019933662648e-05,1.95324242319882,2.1903900749614653,4.640844004902149,4.944969822099532
1990-02-21,421.6,3.826755242362032e-05,2.239765893700772e-05,6.247366952952073e-05,6.979585677824306e-05,1.8360478778068905,1.95324242319882,4.550523017563769,4.640844004902149
1990-02-22,419.0,3.6524290669744993e-06,3.826755242362032e-05,6.822333586893393e-05,6.925507914620366e-05,1.7258850051384769,1.8360478778068905,4.501751813606945,4.550523017563769
1990-02-23,418.2,0.0002378378496116,3.6524290669744993e-06,4.5823788819688034e-05,6.067177704852182e-05,1.6882486421502547,1.7258850051384769,4.427132497071817,4.501751813606945
1990-02-26,411.8,3.78139175541612e-06,0.0002378378496116,6.922765627970524e-05,6.727392730547739e-05,1.5224380723686368,1.6882486421502547,4.319596967284028,4.427132497071817
1990-02-27,411.0,2.6240898859753e-05,3.78139175541612e-06,6.118737635894228e-05,6.693346422764855e-05,1.4310917880265186,1.5224380723686368,4.237087487996972,4.319596967284028
1990-02-28,408.9,5.979427153046681e-08,2.6240898859753e-05,6.195602434349134e-05,6.39697284655164e-05,1.3452262807449271,1.4310917880265186,4.0794285134632,4.237087487996972
1990-03-01,409.0,6.96841581620232e-05,5.979427153046681e-08,5.4314472713073365e-05,6.366028313453612e-05,1.5345012841200476,1.3452262807449271,4.246050521731084,4.0794285134632
1990-03-02,405.6,6.0636546701780245e-06,6.96841581620232e-05,6.75208185320831e-05,6.117728433954361e-05,1.5083479443929313,1.5345012841200476,4.3379466298205775,4.246050521731084
1990-03-05,406.6,1.514047812529705e-06,6.0636546701780245e-06,2.1165979543780163e-05,5.190303338688787e-05,1.318726406365745,1.5083479443929313,4.198424626413587,4.3379466298205775
1990-03-06,406.1,8.838548968440232e-05,1.514047812529705e-06,2.071251075520288e-05,4.419722241678197e-05,1.281191652817397,1.318726406365745,4.2301624179515125,4.198424626413587
1990-03-07,402.3,9.895822756744822e-07,8.838548968440232e-05,3.314142892013274e-05,4.8212208506133486e-05,1.2043201536483532,1.281191652817397,4.191363809181788,4.2301624179515125
1990-03-08,401.9,5.576102892354645e-07,9.895822756744822e-07,3.3327386520961547e-05,4.4035807083157895e-05,1.2395665125831354,1.2043201536483532,4.241708255914428,4.191363809181788
1990-03-09,401.6,1.5520066807474155e-06,5.576102892354645e-07,1.9502076946404e-05,4.3759429507287245e-05,1.206781352661744,1.2395665125831354,4.083772035305608,4.241708255914428
1990-03-12,401.1,9.955153072406317e-07,1.5520066807474155e-06,1.859974734851788e-05,4.1086236287272245e-05,1.2946665022651545,1.206781352661744,4.22187654053293,4.083772035305608
1990-03-13,400.7,8.99551517346946e-06,9.955153072406317e-07,1.8496040847460065e-05,4.10908986860646e-05,1.3708834735769375,1.2946665022651545,4.213216194735297,4.22187654053293
1990-03-14,399.5,6.264086331517458e-08,8.99551517346946e-06,2.6180459452734907e-06,3.935369083578677e-05,1.330219295995918,1.3708834735769375,4.284040875832321,4.213216194735297
1990-03-15,399.6,1.054932779064759e-05,6.264086331517458e-08,2.4326576628016294e-06,3.7060427668569227e-05,1.3579117063898465,1.330219295995918,4.245253592865966,4.284040875832321
1990-03-16,400.9,6.206485040365355e-06,1.054932779064759e-05,4.431001163084054e-06,3.68889914702752e-05,1.2764370040064554,1.3579117063898465,4.2118711445408445,4.245253592865966
1990-03-19,401.9,0.0004678838088592,6.206485040365355e-06,5.361896835007642e-06,3.673841257544842e-05,1.1633525249980143,1.2764370040064554,4.335844732782243,4.2118711445408445
1990-03-20,393.3,4.145875120930027e-06,0.0004678838088592,9.87395555454114e-05,5.274903278208731e-05,1.15946811081822,1.1633525249980143,4.255437985228547,4.335844732782243
1990-03-21,392.5,3.12419003975925e-05,4.145875120930027e-06,9.776962753490352e-05,4.7445731091602e-05,1.0899000241691268,1.15946811081822,4.131945180755008,4.255437985228547
1990-03-22,394.7,0.0001827603795508,3.12419003975925e-05,0.0001040054794417,4.68665996842548e-05,1.1828494624958947,1.0899000241691268,4.144656795220929,4.131945180755008
1990-03-23,389.4,0.0037733329277661,0.0001827603795508,0.0001384476897938,5.41558142576128e-05,1.111878494746141,1.1828494624958947,4.091463179788962,4.144656795220929
1990-03-26,366.2,6.222019370297235e-05,0.0037733329277661,0.0008918729783389,0.0002239315131368,1.1164354817541418,1.111878494746141,4.248507469166405,4.091463179788962
1990-03-27,369.1,0.0,6.222019370297235e-05,0.0008107402553077,0.0002265936842566,1.0494493528488933,1.1164354817541418,4.101102589170105,4.248507469166405
1990-03-28,369.1,0.0003430471977811,0.0,0.0008099110802835,0.0002157828729106,0.9864823916779596,1.0494493528488933,4.372340436061308,4.101102589170105
1990-03-29,376.0,7.092194389957318e-06,0.0003430471977811,0.0008722721397602,0.0002312040459118,0.9932101854973686,0.9864823916779596,4.393109942175336,4.372340436061308
1990-03-30,375.0,1.7801510487833354e-06,7.092194389957318e-06,0.000837138502728,0.0002303336502541,1.01679523603472,0.9932101854973686,4.447721640128361,4.393109942175336
1990-04-02,374.5,0.0002203019743862,1.7801510487833354e-06,8.282794738457701e-05,0.0002304118482894,1.056986630474947,1.01679523603472,4.567867948912326,4.447721640128361
1990-04-03,380.1,1.991422127200934e-05,0.0002203019743862,0.0001144443035212,0.0002372581126632,0.99356743264645,1.056986630474947,4.563114054161515,4.567867948912326
1990-04-04,381.8,4.31578388106753e-05,1.991422127200934e-05,0.0001184271477756,0.0002378876838724,0.9339533866876628,0.99356743264645,4.617663451332113,4.563114054161515
1990-04-05,379.3,0.0002382463630963,4.31578388106753e-05,5.844927598153553e-05,0.0002397805834632,1.0513384889601731,0.9339533866876628,4.6119109588751295,4.617663451332113
1990-04-06,385.2,0.000157235279682,0.0002382463630963,0.0001046801097228,0.0002465924413456,0.9882581796225628,1.0513384889601731,4.609057192830692,4.6119109588751295
1990-04-09,380.4,8.386132421133294e-06,0.000157235279682,0.0001357711354494,0.0002536945185004,1.0781739179922532,0.9882581796225628,4.649639492842565,4.609057192830692
1990-04-10,379.3,5.643530080321559e-06,8.386132421133294e-06,9.33879670564415e-05,0.0002540503604155,1.0966611445799117,1.0781739179922532,4.812571930833272,4.649639492842565
1990-04-11,378.4,1.1762362348685357e-05,5.643530080321559e-06,9.053382881810392e-05,0.0002542363387518,1.0724503067387134,1.0966611445799117,4.700483953733261,4.812571930833272
1990-04-12,379.7,4.448510403548598e-06,1.1762362348685357e-05,8.425473352570594e-05,0.0002547257408901,1.1399367629745638,1.0724503067387134,4.820202851532775,4.700483953733261
1990-04-16,378.9,6.967314614342718e-08,4.448510403548598e-06,3.7495162987152176e-05,0.0002545190588551,1.0277118320895655,1.1399367629745638,4.9482514145569,4.820202851532775
1990-04-17,378.8,5.631631735225425e-06,6.967314614342718e-08,6.0620416799664365e-06,0.0002545193785043,1.1324044454985784,1.0277118320895655,4.855428172583215,4.9482514145569
1990-04-18,379.7,6.917931791130486e-06,5.631631735225425e-06,5.511141542784862e-06,0.0002542958468654,1.2378824842424336,1.1324044454985784,4.810754914078621,4.855428172583215
1990-04-19,380.7,4.425146401474933e-06,6.917931791130486e-06,5.766021884946648e-06,0.0002543281853541,1.1636095351878877,1.2378824842424336,5.049048990797755,4.810754914078621
1990-04-20,379.9,3.334247419268986e-05,4.425146401474933e-06,4.298578695504562e-06,0.0002332618825151,1.093792963076614,1.1636095351878877,5.084407331509914,5.049048990797755
