;Coef.;Std.Err.;z;P>|z|;[0.025;0.975]
const;0.000455;0.000059;7.685108;0.000000;0.000339;0.000571
RV_Daily;0.011569;0.023583;0.490566;0.623733;-0.034654;0.057792
RV_Weekly;0.164955;0.063226;2.608992;0.009081;0.041035;0.288875
RV_Monthly;0.410256;0.073367;5.591861;0.000000;0.266460;0.554052
europe__log_deaths_ewma_94_lag0;0.000051;0.000029;1.783481;0.074508;-0.000005;0.000108
