Variant;N;R2_Base;R2_Aug;Delta_R2;p-value
HAR-X (europe, lag 0);8834;0.044466;0.044737;0.000270;0.074542
HAR-X (europe, lag 1);8834;0.044466;0.044731;0.000265;0.074749
