"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"09/26/2024,""2.753"",""2.829"",""2.883"",""2.731"",""187.37K"",""-2.27%"""
"09/25/2024,""2.817"",""2.814"",""2.887"",""2.795"",""183.26K"",""0.93%"""
"09/24/2024,""2.791"",""2.861"",""2.895"",""2.776"",""153.22K"",""-2.21%"""
"09/23/2024,""2.854"",""2.735"",""2.874"",""2.728"",""212.24K"",""4.97%"""
"09/20/2024,""2.719"",""2.603"",""2.743"",""2.582"",""183.09K"",""4.78%"""
"09/19/2024,""2.595"",""2.568"",""2.604"",""2.505"",""138.18K"",""1.17%"""
"09/18/2024,""2.565"",""2.606"",""2.656"",""2.560"",""95.43K"",""-1.84%"""
"09/17/2024,""2.613"",""2.645"",""2.691"",""2.603"",""118.35K"",""-0.99%"""
"09/16/2024,""2.639"",""2.580"",""2.656"",""2.547"",""108.85K"",""1.93%"""
"09/13/2024,""2.589"",""2.638"",""2.666"",""2.575"",""109.16K"",""-1.67%"""
"09/12/2024,""2.633"",""2.583"",""2.666"",""2.533"",""138.04K"",""2.17%"""
"09/11/2024,""2.577"",""2.538"",""2.597"",""2.513"",""114.66K"",""1.26%"""
"09/10/2024,""2.545"",""2.516"",""2.580"",""2.497"",""111.76K"",""0.71%"""
"09/09/2024,""2.527"",""2.557"",""2.581"",""2.506"",""109.25K"",""-2.70%"""
"09/06/2024,""2.597"",""2.580"",""2.615"",""2.561"",""60.76K"",""0.70%"""
"09/05/2024,""2.579"",""2.503"",""2.614"",""2.482"",""74.26K"",""2.91%"""
"09/04/2024,""2.506"",""2.541"",""2.612"",""2.499"",""62.74K"",""-1.73%"""
"09/03/2024,""2.550"",""2.512"",""2.571"",""2.439"",""97.33K"",""2.08%"""
"08/30/2024,""2.498"",""2.535"",""2.553"",""2.479"",""66.97K"",""-1.23%"""
"08/29/2024,""2.529"",""2.524"",""2.552"",""2.454"",""62.68K"",""20.60%"""
"08/28/2024,""2.097"",""2.085"",""2.140"",""2.021"",""165.22K"",""0.58%"""
"08/27/2024,""2.085"",""2.123"",""2.126"",""2.045"",""182.03K"",""-2.11%"""
"08/26/2024,""2.130"",""2.160"",""2.186"",""2.114"",""121.32K"",""-2.29%"""
"08/23/2024,""2.180"",""2.201"",""2.211"",""2.154"",""112.32K"",""-0.64%"""
"08/22/2024,""2.194"",""2.328"",""2.337"",""2.167"",""166.91K"",""-5.19%"""
"08/21/2024,""2.314"",""2.333"",""2.364"",""2.271"",""105.72K"",""-0.69%"""
"08/20/2024,""2.330"",""2.367"",""2.401"",""2.301"",""100.47K"",""-1.15%"""
"08/19/2024,""2.357"",""2.250"",""2.374"",""2.225"",""133.82K"",""4.90%"""
"08/16/2024,""2.247"",""2.341"",""2.343"",""2.237"",""107.16K"",""-3.64%"""
"08/15/2024,""2.332"",""2.345"",""2.421"",""2.317"",""121.87K"",""-0.47%"""
"08/14/2024,""2.343"",""2.288"",""2.395"",""2.272"",""126.59K"",""2.76%"""
"08/13/2024,""2.280"",""2.324"",""2.373"",""2.267"",""119.24K"",""-2.65%"""
"08/12/2024,""2.342"",""2.311"",""2.394"",""2.301"",""99.38K"",""2.18%"""
"08/09/2024,""2.292"",""2.290"",""2.333"",""2.247"",""103.64K"",""0.97%"""
"08/08/2024,""2.270"",""2.228"",""2.321"",""2.161"",""135.05K"",""1.38%"""
"08/07/2024,""2.239"",""2.133"",""2.247"",""2.125"",""118.66K"",""5.56%"""
"08/06/2024,""2.121"",""2.058"",""2.140"",""2.015"",""83.46K"",""3.72%"""
"08/05/2024,""2.045"",""2.069"",""2.083"",""1.991"",""69.66K"",""-1.59%"""
"08/02/2024,""2.078"",""2.114"",""2.147"",""2.041"",""87.31K"",""-0.86%"""
"08/01/2024,""2.096"",""2.158"",""2.243"",""2.093"",""97.44K"",""-3.05%"""
