"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"07/31/2024,""2.162"",""2.241"",""2.261"",""2.149"",""79.09K"",""-3.65%"""
"07/30/2024,""2.244"",""2.189"",""2.252"",""2.113"",""71.34K"",""10.22%"""
"07/29/2024,""2.036"",""2.053"",""2.102"",""1.999"",""162.68K"",""-0.73%"""
"07/26/2024,""2.051"",""2.082"",""2.096"",""2.039"",""149.81K"",""-1.01%"""
"07/25/2024,""2.072"",""2.161"",""2.193"",""2.064"",""158.13K"",""-3.99%"""
"07/24/2024,""2.158"",""2.190"",""2.208"",""2.139"",""133.12K"",""-2.97%"""
"07/23/2024,""2.224"",""2.279"",""2.290"",""2.160"",""127.42K"",""-2.71%"""
"07/22/2024,""2.286"",""2.145"",""2.302"",""2.131"",""141.07K"",""5.59%"""
"07/19/2024,""2.165"",""2.128"",""2.179"",""2.095"",""101.00K"",""-0.14%"""
"07/18/2024,""2.168"",""2.088"",""2.172"",""2.063"",""147.92K"",""4.68%"""
"07/17/2024,""2.071"",""2.203"",""2.224"",""2.055"",""187.04K"",""-6.12%"""
"07/16/2024,""2.206"",""2.189"",""2.235"",""2.171"",""121.32K"",""1.29%"""
"07/15/2024,""2.178"",""2.283"",""2.284"",""2.167"",""162.46K"",""-6.56%"""
"07/12/2024,""2.331"",""2.287"",""2.357"",""2.252"",""101.06K"",""2.15%"""
"07/11/2024,""2.282"",""2.339"",""2.353"",""2.277"",""100.06K"",""-2.69%"""
"07/10/2024,""2.345"",""2.366"",""2.396"",""2.313"",""107.30K"",""-0.64%"""
"07/09/2024,""2.360"",""2.384"",""2.454"",""2.351"",""106.05K"",""-0.92%"""
"07/08/2024,""2.382"",""2.300"",""2.417"",""2.300"",""126.72K"",""1.36%"""
"07/05/2024,""2.350"",""2.459"",""2.466"",""2.347"",""98.43K"",""-0.89%"""
"07/04/2024,""2.371"",""2.431"",""2.439"",""2.335"","""",""-3.11%"""
"07/03/2024,""2.447"",""2.485"",""2.503"",""2.434"",""70.97K"",""-0.29%"""
"07/02/2024,""2.454"",""2.482"",""2.497"",""2.436"",""96.17K"",""-1.52%"""
"07/01/2024,""2.492"",""2.581"",""2.599"",""2.474"",""107.00K"",""-4.08%"""
"06/28/2024,""2.598"",""2.694"",""2.749"",""2.591"",""80.15K"",""-2.88%"""
"06/27/2024,""2.675"",""2.725"",""2.773"",""2.665"",""61.99K"",""-2.55%"""
"06/26/2024,""2.745"",""2.850"",""2.863"",""2.731"",""141.35K"",""-4.12%"""
"06/25/2024,""2.863"",""2.943"",""2.951"",""2.831"",""158.42K"",""-2.88%"""
"06/24/2024,""2.948"",""2.813"",""2.953"",""2.780"",""139.60K"",""3.95%"""
"06/21/2024,""2.836"",""2.838"",""2.888"",""2.793"",""104.88K"",""-0.63%"""
"06/20/2024,""2.854"",""2.995"",""3.027"",""2.833"",""131.81K"",""-2.13%"""
"06/19/2024,""2.916"",""2.904"",""2.928"",""2.859"","""",""-2.47%"""
"06/18/2024,""2.990"",""2.870"",""2.997"",""2.858"",""91.14K"",""4.29%"""
"06/17/2024,""2.867"",""2.930"",""2.930"",""2.837"",""96.87K"",""-3.24%"""
"06/14/2024,""2.963"",""3.000"",""3.068"",""2.950"",""80.26K"",""-2.44%"""
"06/13/2024,""3.037"",""3.104"",""3.167"",""2.978"",""94.27K"",""-2.72%"""
"06/12/2024,""3.122"",""3.194"",""3.194"",""3.073"",""101.31K"",""-2.22%"""
"06/11/2024,""3.193"",""3.046"",""3.221"",""3.031"",""85.32K"",""7.26%"""
"06/10/2024,""2.977"",""3.055"",""3.163"",""2.945"",""106.18K"",""-0.63%"""
"06/07/2024,""2.996"",""2.883"",""3.037"",""2.871"",""93.24K"",""3.60%"""
"06/06/2024,""2.892"",""2.829"",""2.946"",""2.796"",""73.60K"",""2.26%"""
"06/05/2024,""2.828"",""2.694"",""2.854"",""2.681"",""76.26K"",""5.92%"""
"06/04/2024,""2.670"",""2.814"",""2.874"",""2.656"",""87.22K"",""-4.78%"""
"06/03/2024,""2.804"",""2.716"",""2.850"",""2.688"",""99.26K"",""5.33%"""
"05/31/2024,""2.662"",""2.647"",""2.701"",""2.605"",""61.48K"",""0.57%"""
"05/30/2024,""2.647"",""2.715"",""2.731"",""2.637"",""73.51K"",""-0.71%"""
"05/29/2024,""2.666"",""2.836"",""2.848"",""2.655"",""161.40K"",""-5.63%"""
"05/28/2024,""2.825"",""2.761"",""2.853"",""2.732"",""211.82K"",""1.62%"""
