;Coef.;Std.Err.;z;P>|z|;[0.025;0.975]
const;0.000049;0.000017;2.887588;0.003882;0.000016;0.000082
RV_Daily;0.060336;0.032669;1.846909;0.064760;-0.003693;0.124365
RV_Weekly;0.090796;0.053259;1.704796;0.088233;-0.013590;0.195181
RV_Monthly;0.494942;0.075415;6.562896;0.000000;0.347131;0.642753
global__log_deaths_ewma_94_lag1;-0.000003;0.000003;-0.796017;0.426022;-0.000009;0.000004
