Date,fatal,log_fatal,log_fatal_ewma_94
1998-03-15,0.0,0.0,0.08267061151290878
1998-03-16,0.0,0.0,0.07771037482213425
1998-03-17,0.0,0.0,0.07304775233280619
1998-03-18,0.0,0.0,0.06866488719283782
1998-03-19,0.0,0.0,0.06454499396126755
1998-03-20,0.0,0.0,0.06067229432359149
1998-03-21,0.0,0.0,0.057031956664175994
1998-03-22,0.0,0.0,0.05361003926432543
1998-03-23,0.0,0.0,0.0503934369084659
1998-03-24,0.0,0.0,0.04736983069395794
1998-03-25,0.0,0.0,0.044527640852320464
1998-03-26,0.0,0.0,0.041855982401181234
1998-03-27,0.0,0.0,0.03934462345711036
1998-03-28,0.0,0.0,0.03698394604968373
1998-03-29,0.0,0.0,0.03476490928670271
1998-03-30,0.0,0.0,0.03267901472950054
1998-03-31,0.0,0.0,0.030718273845730507
1998-04-01,5.0,1.791759469228055,0.13638074556867008
1998-04-02,0.0,0.0,0.12819790083454988
1998-04-03,0.0,0.0,0.12050602678447687
1998-04-04,0.0,0.0,0.11327566517740825
1998-04-05,0.0,0.0,0.10647912526676376
1998-04-06,0.0,0.0,0.10009037775075792
1998-04-07,0.0,0.0,0.09408495508571244
1998-04-08,0.0,0.0,0.08843985778056969
1998-04-09,0.0,0.0,0.0831334663137355
1998-04-10,0.0,0.0,0.07814545833491136
1998-04-11,0.0,0.0,0.07345673083481667
1998-04-12,0.0,0.0,0.06904932698472767
1998-04-13,0.0,0.0,0.06490636736564401
1998-04-14,0.0,0.0,0.061011985323705366
1998-04-15,0.0,0.0,0.05735126620428304
1998-04-16,0.0,0.0,0.053910190232026055
1998-04-17,0.0,0.0,0.050675578818104486
1998-04-18,0.0,0.0,0.04763504408901821
1998-04-19,0.0,0.0,0.04477694144367712
1998-04-20,0.0,0.0,0.04209032495705649
1998-04-21,0.0,0.0,0.0395649054596331
1998-04-22,0.0,0.0,0.03719101113205511
1998-04-23,0.0,0.0,0.0349595504641318
1998-04-24,0.0,0.0,0.03286197743628389
1998-04-25,0.0,0.0,0.030890258790106855
1998-04-26,0.0,0.0,0.02903684326270044
1998-04-27,0.0,0.0,0.027294632666938413
1998-04-28,0.0,0.0,0.025656954706922107
1998-04-29,0.0,0.0,0.02411753742450678
1998-04-30,0.0,0.0,0.02267048517903637
1998-05-01,0.0,0.0,0.021310256068294186
1998-05-02,0.0,0.0,0.020031640704196534
1998-05-03,0.0,0.0,0.01882974226194474
1998-05-04,0.0,0.0,0.017699957726228056
1998-05-05,0.0,0.0,0.01663796026265437
1998-05-06,0.0,0.0,0.01563968264689511
1998-05-07,0.0,0.0,0.0147013016880814
1998-05-08,0.0,0.0,0.013819223586796516
1998-05-09,0.0,0.0,0.012990070171588725
1998-05-10,0.0,0.0,0.012210665961293402
1998-05-11,0.0,0.0,0.011478026003615797
1998-05-12,0.0,0.0,0.010789344443398848
1998-05-13,0.0,0.0,0.010141983776794917
1998-05-14,0.0,0.0,0.009533464750187222
1998-05-15,0.0,0.0,0.008961456865175988
1998-05-16,0.0,0.0,0.008423769453265428
1998-05-17,0.0,0.0,0.007918343286069503
1998-05-18,0.0,0.0,0.007443242688905332
1998-05-19,0.0,0.0,0.006996648127571012
1998-05-20,0.0,0.0,0.0065768492399167515
1998-05-21,0.0,0.0,0.006182238285521746
1998-05-22,0.0,0.0,0.005811303988390441
1998-05-23,0.0,0.0,0.005462625749087014
1998-05-24,1.0,0.6931471805599453,0.046723699037738556
1998-05-25,10.0,2.3978952727983707,0.18779399346337664
1998-05-26,0.0,0.0,0.17652635385557403
1998-05-27,0.0,0.0,0.16593477262423958
1998-05-28,0.0,0.0,0.1559786862667852
1998-05-29,0.0,0.0,0.1466199650907781
1998-05-30,0.0,0.0,0.1378227671853314
1998-05-31,0.0,0.0,0.12955340115421152
1998-06-01,0.0,0.0,0.12178019708495882
1998-06-02,3.0,1.3862943611198906,0.19765104692705482
1998-06-03,20.0,3.044522437723423,0.3684633303748371
1998-06-04,7.0,2.0794415416798357,0.4711220230531371
1998-06-05,2.0,1.0986122886681098,0.5087714389900355
1998-06-06,0.0,0.0,0.4782451526506334
1998-06-07,0.0,0.0,0.44955044349159534
1998-06-08,0.0,0.0,0.4225774168820996
1998-06-09,4.0,1.6094379124341003,0.4937890466152197
1998-06-10,0.0,0.0,0.4641617038183065
1998-06-11,0.0,0.0,0.4363120015892081
1998-06-12,0.0,0.0,0.4101332814938556
1998-06-13,0.0,0.0,0.38552528460422425
1998-06-14,0.0,0.0,0.36239376752797076
1998-06-15,0.0,0.0,0.34065014147629247
1998-06-16,0.0,0.0,0.3202111329877149
1998-06-17,1.0,0.6931471805599453,0.3425872958420488
1998-06-18,0.0,0.0,0.32203205809152585
1998-06-19,0.0,0.0,0.3027101346060343
1998-06-20,0.0,0.0,0.28454752652967225
1998-06-21,1.0,0.6931471805599453,0.30906350577148867
1998-06-22,0.0,0.0,0.29051969542519934
1998-06-23,0.0,0.0,0.27308851369968734
1998-06-24,0.0,0.0,0.2567032028777061
1998-06-25,0.0,0.0,0.24130101070504373
1998-06-26,0.0,0.0,0.22682295006274109
1998-06-27,0.0,0.0,0.21321357305897662
1998-06-28,0.0,0.0,0.20042075867543802
1998-06-29,0.0,0.0,0.18839551315491174
1998-06-30,0.0,0.0,0.177091782365617
1998-07-01,0.0,0.0,0.16646627542367998
1998-07-02,0.0,0.0,0.15647829889825918
1998-07-03,0.0,0.0,0.14708960096436363
1998-07-04,0.0,0.0,0.1382642249065018
1998-07-05,1.0,0.6931471805599453,0.17155720224570847
1998-07-06,0.0,0.0,0.16126377011096596
1998-07-07,0.0,0.0,0.151587943904308
1998-07-08,0.0,0.0,0.1424926672700495
1998-07-09,0.0,0.0,0.13394310723384653
1998-07-10,0.0,0.0,0.12590652079981574
1998-07-11,0.0,0.0,0.11835212955182678
1998-07-12,0.0,0.0,0.11125100177871716
1998-07-13,0.0,0.0,0.10457594167199413
1998-07-14,1.0,0.6931471805599453,0.13989021600527124
1998-07-15,0.0,0.0,0.13149680304495495
1998-07-16,0.0,0.0,0.12360699486225765
1998-07-17,0.0,0.0,0.11619057517052218
1998-07-18,40.0,3.713572066704308,0.33203346466254957
1998-07-19,0.0,0.0,0.31211145678279656
1998-07-20,0.0,0.0,0.29338476937582875
1998-07-21,0.0,0.0,0.275781683213279
1998-07-22,0.0,0.0,0.25923478222048224
1998-07-23,0.0,0.0,0.24368069528725328
1998-07-24,0.0,0.0,0.22905985357001807
1998-07-25,0.0,0.0,0.21531626235581697
1998-07-26,0.0,0.0,0.20239728661446793
1998-07-27,0.0,0.0,0.19025344941759983
1998-07-28,0.0,0.0,0.17883824245254384
1998-07-29,0.0,0.0,0.16810794790539121
1998-07-30,2.0,1.0986122886681098,0.22393820835115438
1998-07-31,0.0,0.0,0.2105019158500851
1998-08-01,6.0,1.9459101490553132,0.31462640984239887
1998-08-02,0.0,0.0,0.2957488252518549
1998-08-03,0.0,0.0,0.2780038957367436
1998-08-04,0.0,0.0,0.261323661992539
1998-08-05,0.0,0.0,0.24564424227298662
1998-08-06,0.0,0.0,0.2309055877366074
1998-08-07,0.0,0.0,0.21705125247241094
1998-08-08,0.0,0.0,0.20402817732406628
1998-08-09,0.0,0.0,0.19178648668462228
1998-08-10,0.0,0.0,0.18027929748354493
1998-08-11,0.0,0.0,0.16946253963453223
1998-08-12,0.0,0.0,0.1592947872564603
1998-08-13,0.0,0.0,0.14973710002107266
1998-08-14,0.0,0.0,0.1407528740198083
1998-08-15,0.0,0.0,0.1323077015786198
1998-08-16,0.0,0.0,0.12436923948390259
1998-08-17,0.0,0.0,0.11690708511486843
1998-08-18,0.0,0.0,0.10989266000797632
1998-08-19,0.0,0.0,0.10329910040749773
1998-08-20,0.0,0.0,0.09710115438304787
1998-08-21,0.0,0.0,0.09127508512006499
1998-08-22,0.0,0.0,0.08579858001286109
1998-08-23,1.0,0.6931471805599453,0.12223949604568618
1998-08-24,1.0,0.6931471805599453,0.15649395711654177
1998-08-25,0.0,0.0,0.14710431968954926
1998-08-26,0.0,0.0,0.1382780605081763
1998-08-27,0.0,0.0,0.1299813768776857
1998-08-28,0.0,0.0,0.12218249426502456
1998-08-29,0.0,0.0,0.11485154460912309
1998-08-30,0.0,0.0,0.1079604519325757
1998-08-31,0.0,0.0,0.10148282481662114
1998-09-01,0.0,0.0,0.09539385532762387
1998-09-02,0.0,0.0,0.08967022400796644
1998-09-03,0.0,0.0,0.08429001056748844
1998-09-04,0.0,0.0,0.07923260993343913
1998-09-05,0.0,0.0,0.07447865333743278
1998-09-06,0.0,0.0,0.07000993413718681
1998-09-07,0.0,0.0,0.0658093380889556
1998-09-08,1.0,0.6931471805599453,0.10344960863721503
1998-09-09,1.0,0.6931471805599453,0.1388314629525789
1998-09-10,0.0,0.0,0.13050157517542416
1998-09-11,0.0,0.0,0.1226714806648987
1998-09-12,0.0,0.0,0.11531119182500478
1998-09-13,1.0,0.6931471805599453,0.14998135114910124
1998-09-14,0.0,0.0,0.14098247008015516
1998-09-15,0.0,0.0,0.13252352187534583
1998-09-16,0.0,0.0,0.12457211056282508
1998-09-17,0.0,0.0,0.11709778392905557
1998-09-18,0.0,0.0,0.11007191689331222
1998-09-19,0.0,0.0,0.10346760187971349
1998-09-20,0.0,0.0,0.09725954576693067
1998-09-21,0.0,0.0,0.09142397302091483
1998-09-22,0.0,0.0,0.08593853463965993
1998-09-23,0.0,0.0,0.08078222256128033
1998-09-24,0.0,0.0,0.0759352892076035
1998-09-25,0.0,0.0,0.07137917185514729
1998-09-26,0.0,0.0,0.06709642154383845
