Date,Price,Log_Ret,RV_Daily,RV_Weekly,RV_Monthly
1990-02-01,423.3,0.013078298404412544,0.0001710418891548597,0.0001207519747230159,0.00010081291718581538
1990-02-02,423.4,0.0002362111738867082,5.57957186689367e-08,0.0001024745167414176,9.155031445170657e-05
1990-02-05,427.5,0.009636929676050225,9.28704135811375e-05,0.00011967508114702574,9.023288132900851e-05
1990-02-06,426.4,-0.002576415525180228,6.637916958389711e-06,9.6140638208332e-05,7.407475417289541e-05
1990-02-07,423.1,-0.007769315125612904,6.036225752107746e-05,6.619365458682666e-05,7.345288427731702e-05
1990-02-08,423.5,0.0009449563660872829,8.929425338088831e-07,3.21638652626165e-05,7.309559949767644e-05
1990-02-09,420.6,-0.006871250823509628,4.7214087879581744e-05,4.159552369479906e-05,5.7951753324859424e-05
1990-02-12,423.6,0.007107350458652018,5.051443054210105e-05,3.312432708699177e-05,5.973031972427494e-05
1990-02-13,422.0,-0.003784299691239618,1.432092415311627e-05,3.4660928525937084e-05,6.016764556735037e-05
1990-02-14,420.7,-0.0030853234395366645,9.519220726554354e-06,2.4492321167032465e-05,6.0558088995878035e-05
1990-02-15,416.2,-0.010754076636941173,0.00011565016431320397,4.744376552291147e-05,6.358077242885642e-05
1990-02-16,420.8,0.010991747463966169,0.0001208185123116067,6.216465040931646e-05,6.84727790719299e-05
1990-02-20,423.6,0.006631952303751207,4.3982791359230946e-05,6.085832257274245e-05,6.88019933662648e-05
1990-02-21,421.6,-0.004732616500098832,2.239765893700772e-05,6.247366952952073e-05,6.979585677824306e-05
1990-02-22,419.0,-0.006186077305014893,3.8267552423620314e-05,6.822333586893393e-05,6.925507914620366e-05
1990-02-23,418.2,-0.0019111329276045922,3.6524290669744993e-06,4.5823788819688034e-05,6.067177704852182e-05
1990-02-26,411.8,-0.015421992400844086,0.00023783784961169273,6.922765627970524e-05,6.727392730547739e-05
1990-02-27,411.0,-0.0019445800974544915,3.78139175541612e-06,6.118737635894228e-05,6.693346422764855e-05
1990-02-28,408.9,-0.005122587125638079,2.6240898859753e-05,6.195602434349134e-05,6.39697284655164e-05
1990-03-01,409.0,0.0002445286722052586,5.979427153046681e-08,5.4314472713073365e-05,6.366028313453612e-05
1990-03-02,405.6,-0.008347703765828253,6.96841581620232e-05,6.75208185320831e-05,6.117728433954361e-05
1990-03-05,406.6,0.002462448917272808,6.0636546701780245e-06,2.1165979543780163e-05,5.190303338688787e-05
1990-03-06,406.1,-0.001230466501994144,1.514047812529705e-06,2.071251075520288e-05,4.419722241678197e-05
1990-03-07,402.3,-0.009401355736509619,8.838548968440232e-05,3.314142892013274e-05,4.8212208506133486e-05
1990-03-08,401.9,-0.0009947775005871827,9.895822756744822e-07,3.3327386520961547e-05,4.4035807083157895e-05
1990-03-09,401.6,-0.0007467330776358206,5.576102892354645e-07,1.9502076946404e-05,4.3759429507287245e-05
1990-03-12,401.1,-0.001245795601512309,1.5520066807474157e-06,1.859974734851788e-05,4.1086236287272245e-05
1990-03-13,400.7,-0.0009977551339084313,9.955153072406317e-07,1.8496040847460062e-05,4.10908986860646e-05
1990-03-14,399.5,-0.0029992524357695303,8.99551517346946e-06,2.6180459452734907e-06,3.935369083578677e-05
1990-03-15,399.6,0.000250281568069194,6.264086331517458e-08,2.4326576628016294e-06,3.7060427668569227e-05
1990-03-16,400.9,0.003247972874062773,1.054932779064759e-05,4.431001163084054e-06,3.6888991470275194e-05
1990-03-19,401.9,0.0024912818066941673,6.206485040365355e-06,5.361896835007642e-06,3.673841257544842e-05
1990-03-20,393.3,-0.02163062201739144,0.0004678838088592594,9.87395555454114e-05,5.274903278208731e-05
1990-03-21,392.5,-0.0020361422153007945,4.145875120930027e-06,9.776962753490351e-05,4.7445731091601995e-05
1990-03-22,394.7,0.005589445446338348,3.12419003975925e-05,0.00010400547944175898,4.6866599684254804e-05
1990-03-23,389.4,-0.013518889730702137,0.0001827603795508837,0.0001384476897938062,5.41558142576128e-05
1990-03-26,366.2,-0.06142746069768897,0.0037733329277661234,0.0008918729783389577,0.00022393151313681748
1990-03-27,369.1,0.007887977795542553,6.222019370297235e-05,0.0008107402553077004,0.00022659368425663557
1990-03-28,369.1,0.0,0.0,0.0008099110802835145,0.00021578287291064953
1990-03-29,376.0,0.018521533353941626,0.0003430471977811721,0.0008722721397602303,0.0002312040459118203
1990-03-30,375.0,-0.002663117419483662,7.092194389957318e-06,0.000837138502728045,0.0002303336502541023
1990-04-02,374.5,-0.0013342230131366103,1.7801510487833354e-06,8.282794738457701e-05,0.00023041184828943197
1990-04-03,380.1,0.014842573037928849,0.0002203019743862524,0.00011444430352123303,0.00023725811266326057
1990-04-04,381.8,0.00446253529644409,1.991422127200934e-05,0.0001184271477756349,0.0002378876838724347
1990-04-05,379.3,-0.006569462596793995,4.3157838810675304e-05,5.844927598153553e-05,0.00023978058346325952
1990-04-06,385.2,0.015435231229117285,0.00023824636309631748,0.00010468010972280756,0.0002465924413456193
1990-04-09,380.4,-0.012539349252735251,0.0001572352796820721,0.0001357711354494653,0.0002536945185004555
1990-04-10,379.3,-0.0028958819763818576,8.386132421133294e-06,9.33879670564415e-05,0.00025405036041554183
1990-04-11,378.4,-0.002375611517130181,5.643530080321559e-06,9.053382881810393e-05,0.0002542363387518861
1990-04-12,379.7,0.0034296300600334955,1.1762362348685357e-05,8.425473352570594e-05,0.00025472574089013356
1990-04-16,378.9,-0.002109149213201522,4.448510403548598e-06,3.7495162987152176e-05,0.0002545190588551372
1990-04-17,378.8,-0.00026395671263187677,6.967314614342718e-08,6.0620416799664365e-06,0.00025451937850435664
1990-04-18,379.7,0.0023731059258333635,5.631631735225425e-06,5.511141542784862e-06,0.00025429584686547383
1990-04-19,380.7,0.0026301961506949413,6.917931791130486e-06,5.766021884946648e-06,0.00025432818535414496
1990-04-20,379.9,-0.0021036031948718213,4.425146401474933e-06,4.298578695504562e-06,0.00023326188251515477
1990-04-23,382.1,0.005774294259274449,3.334247419268986e-05,1.0077371453332816e-05,0.0002345890006547802
1990-04-24,379.0,-0.00814614937042803,6.635974956532499e-05,2.333538673716913e-05,0.0002361852665260408
1990-04-25,373.6,-0.014350498727738725,0.00020593681373483075,6.339642313709019e-05,0.00023723874080712928
1990-04-26,373.3,-0.00080332043414946,6.453237199220769e-07,6.214190152284852e-05,6.575294062321104e-05
1990-04-27,374.0,0.001873411493993731,3.5096706258278236e-06,6.195880636771909e-05,6.308428048334084e-05
1990-04-30,371.4,-0.00697614849592652,4.866664783721785e-05,6.50236410966247e-05,6.529640083957801e-05
1990-05-01,372.7,0.003494157566607375,1.2209137100279573e-05,5.41935186036156e-05,5.025830717226472e-05
1990-05-02,372.0,-0.0018799522120661047,3.5342203196522405e-06,1.3712999920579901e-05,5.009658107815994e-05
1990-05-03,373.7,0.004559482218291717,2.0788878098918357e-05,1.7741710796379158e-05,5.096061412589335e-05
1990-05-04,373.1,-0.0016068562643260097,2.5819870542037392e-06,1.755617408205434e-05,4.106425106534568e-05
1990-05-07,374.0,0.0024093171874196508,5.8048093095957366e-06,8.983806376529918e-06,4.042291415796325e-05
1990-05-08,372.0,-0.005361943141385399,2.875043425144992e-05,1.2292065806763988e-05,3.976803213254391e-05
1990-05-09,373.7,0.004559482218291717,2.0788878098918357e-05,1.574299736261721e-05,2.98836009962985e-05
1990-05-10,371.9,-0.004828335560413841,2.331282428395684e-05,1.624778659962491e-05,2.379621666002053e-05
1990-05-11,370.5,-0.0037715561948827732,1.4224636131158623e-05,1.8576316415015886e-05,2.406160319229441e-05
1990-05-14,369.9,-0.0016207458977333545,2.6268172650194973e-06,1.7940718006100638e-05,2.3924479882507955e-05
1990-05-15,372.3,0.0064672820402629765,4.182573698830805e-05,2.0555778553472263e-05,2.5290996911581714e-05
1990-05-16,370.3,-0.005386492959104161,2.9014306398478702e-05,2.220086421338433e-05,2.640762400226035e-05
1990-05-17,370.6,0.0008098259316925062,6.558180396416356e-07,1.766946296452129e-05,2.6434266951964814e-05
1990-05-18,375.6,0.013401433482848332,0.00017959841939520836,5.074421961733124e-05,3.4341848209236764e-05
1990-05-21,374.1,-0.004001605980007409,1.6012850419231053e-05,5.342142624817355e-05,3.4755253601423154e-05
1990-05-22,376.4,0.006129266357123932,3.7567906076571283e-05,5.256986006582619e-05,3.62617426775639e-05
1990-05-23,364.6,-0.031851545466661746,0.0010145209486148205,0.00024967118850909454,8.08607642422062e-05
1990-05-24,366.9,0.006288469116673467,3.954484383135598e-05,0.0002574489936674374,7.964190489066216e-05
1990-05-25,368.4,0.004079973019915515,1.664617984323853e-05,0.00022485854575704346,7.103778516831706e-05
1990-05-29,367.4,-0.0027181316001265044,7.388239395606271e-06,0.0002231336235523185,7.134428133539361e-05
1990-05-30,368.9,0.004074431821604627,1.66009946689044e-05,0.00021894024127078513,7.193934151916983e-05
1990-05-31,368.6,-0.0008135593669069185,6.618788434819861e-07,1.6168427316517435e-05,6.97573065649091e-05
1990-06-01,363.5,-0.013932748262148943,0.0001941214741364144,4.708375337752912e-05,7.802604915746068e-05
1990-06-04,362.4,-0.0030307228047498367,9.185280719230717e-06,4.559157355272756e-05,7.82829155392597e-05
1990-06-05,363.6,0.0033057881344996315,1.0928235190198554e-05,4.6299572711646016e-05,7.783470449795425e-05
1990-06-06,361.0,-0.007176403970442917,5.150077394698886e-05,5.3279528567262905e-05,8.005828572035357e-05
1990-06-07,358.1,-0.008065681328493893,6.505521529281502e-05,6.61581958571295e-05,8.275148599231809e-05
1990-06-08,359.2,0.0030670594236573874,9.406853508245585e-06,2.9215271731495748e-05,8.187223232217245e-05
1990-06-11,359.7,0.0013910142735336897,1.9349207091744587e-06,2.7765199729484493e-05,8.101523425900226e-05
1990-06-12,359.1,-0.0016694494695410462,2.7870615313508803e-06,2.6136964997714964e-05,8.008224504297473e-05
1990-06-13,355.1,-0.011201461282994945,0.00012547273487443475,4.0931357183204134e-05,8.513897680403273e-05
1990-06-14,349.8,-0.015037877364540559,0.00022613775563096132,7.31478652508334e-05,9.529856491157553e-05
1990-06-15,352.3,0.007121522762690326,5.071608645951645e-05,8.140971184108757e-05,9.570267170572137e-05
1990-06-18,352.0,-0.0008519097490949178,7.257502206029658e-07,8.116787774337327e-05,9.441682824309065e-05
1990-06-19,351.8,-0.0005683432946392234,3.230141005613671e-07,8.067506825721536e-05,9.440170079131428e-05
1990-06-20,353.1,0.003688470630883005,1.3604815594886472e-05,5.830148440130571e-05,8.685653698220875e-05
1990-06-21,353.1,0.0,0.0,1.307393327511345e-05,8.612868014497097e-05
1990-06-22,352.8,-0.0008499788017045179,7.224639633470481e-07,3.075208775879571e-06,8.445388732164261e-05
