Variant;N;R2_Base;R2_Aug;Delta_R2;p-value
HAR-X (middle_east, lag 1);8900;0.236999;0.236937;-0.000062;0.358844
HAR-X (middle_east, lag 0);8900;0.236999;0.236934;-0.000065;0.391873
